k,pof,lambda_param,max_welfare_cost,group_costs,fcbc_objective,runtime,alpha,beta
7,1.1625,0.5,1.080945154037208,"{0: 1.080945154037208, 1: 1.0630237292173508}",146.20561558887218,14.175891620019684,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
7,1.21875,0.5,1.0964115882685541,"{0: 1.0589686960947209, 1: 1.0964115882685541}",147.23729616671883,13.978418179001892,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
7,1.275,0.5,1.0796172360694714,"{0: 1.0796172360694714, 1: 1.0635772483402057}",146.2015672152581,15.192526624014135,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
7,1.33125,0.5,1.081169837347081,"{0: 1.081169837347081, 1: 1.062963740083975}",146.2088275027734,15.091650512011256,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
7,1.3875,0.5,1.1236764594787574,"{0: 1.1236764594787574, 1: 1.1126913708238229}",149.41081850018625,15.796009241021238,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
7,1.44375,0.5,1.1464372090779638,"{0: 1.1464372090779638, 1: 1.0837586142173152}",148.61354634359097,18.987056592974117,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
7,1.5,0.5,1.0809507651658667,"{0: 1.0809507651658667, 1: 1.0630342033533342}",146.20694121810445,32.51965006699902,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,1.05,0.5,1.020828927665162,"{0: 1.020828927665162, 1: 0.9720999446411697}",140.57456270127108,17.146938853984466,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,1.10625,0.5,1.0203705681253226,"{0: 1.0203705681253226, 1: 0.9723757824438292}",140.57653220208098,20.292255745007424,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,1.1625,0.5,1.0063576559982677,"{0: 1.0063576559982677, 1: 0.991206358319035}",141.14378383904742,24.868406494992087,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,1.21875,0.5,1.0686996161809872,"{0: 1.0686996161809872, 1: 1.0222008839293693}",144.0428583389618,29.38529052099329,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,1.275,0.5,1.0059866329948242,"{0: 1.0059866329948242, 1: 0.9914484999782055}",141.14677030680664,18.93402748601511,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,1.33125,0.5,1.020696796456571,"{0: 1.020696796456571, 1: 0.9721537258040935}",140.57330054872114,21.036080864985703,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,1.3875,0.5,1.093271592790671,"{0: 1.093271592790671, 1: 1.004812930055047}",143.7964568897832,17.460848360002274,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,1.44375,0.5,1.0125630898472167,"{0: 1.0125630898472167, 1: 1.007076697529507}",142.04007235790843,17.812514160992578,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
8,1.5,0.5,1.0199455744171235,"{0: 1.0199455744171235, 1: 0.9721272198334655}",140.55341145428747,18.45559462098754,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
9,1.05,0.5,0.9743238832732654,"{0: 0.9743238832732654, 1: 0.9214212352982946}",137.02252016744598,19.470009564014617,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
