k,pof,lambda_param,max_welfare_cost,fcbc_objective,runtime,group_0_cost,group_1_cost,group_0_distance_cost,group_1_distance_cost,group_0_avg_cost,group_1_avg_cost
11,1.10625,0.0,0.00022399999999998644,131.90505921868254,21.879129427019507,0.00022399999999998644,0.0,1.858487753000706,1.681801509754365,299.72727272727275,609.3636363636364
11,1.1625,0.0,0.0002211799999999894,129.00411133571464,21.7796313809813,0.0002211799999999894,0.0,1.7479578612759967,1.6232404324724883,299.72727272727275,609.3636363636364
11,1.21875,0.0,0.00023980999999998227,128.95331600048092,25.461592261039183,0.00023980999999998227,0.0,1.7422197219077469,1.6241078403555258,299.72727272727275,609.3636363636364
11,1.275,0.0,0.00024605999999998107,129.00200855764336,21.57554995099781,0.00024605999999998107,0.0,1.7479329085704212,1.623171801950026,299.72727272727275,609.3636363636364
11,1.33125,0.0,0.0002900399999999758,128.94191392494224,21.381506433011964,0.0002900399999999758,0.0,1.7407885722505283,1.6243732896963452,299.72727272727275,609.3636363636364
11,1.3875,0.0,0.00018760999999999022,128.9500187617575,21.49300417804625,0.00018760999999999022,0.0,1.7428183446085819,1.6236867549077798,299.72727272727275,609.3636363636364
11,1.44375,0.0,0.00028403999999998064,130.79806649177146,21.609044855984397,0.00028403999999998064,0.0,1.8022310482320325,1.6660831536443355,299.72727272727275,609.3636363636364
11,1.5,0.0,0.0002209099999999903,129.23530153068418,24.60505724500399,0.0002209099999999903,0.0,1.7508422946719517,1.630730183869134,299.72727272727275,609.3636363636364
12,1.05,0.0,0.00028998999999999296,126.2742617189422,24.30893418501364,0.00028998999999999296,0.0,1.693679231394654,1.545963758860487,274.75,558.5833333333334
12,1.10625,0.0,0.0003576099999999945,126.92469824919029,23.18319152999902,0.0003576099999999945,0.0,1.7216773593287933,1.5567642313965548,274.75,558.5833333333334
12,1.1625,0.0,0.000294929999999988,127.07703618445704,23.952123423980083,0.000294929999999988,0.0,1.7068142576697578,1.5698492380070115,274.75,558.5833333333334
12,1.21875,0.0,0.000276039999999981,127.14979253502644,23.111323112039827,0.000276039999999981,0.0,1.6959791969058897,1.577938360877387,274.75,558.5833333333334
12,1.275,0.0,0.0003513299999999861,126.29897271034989,23.397265058010817,0.0003513299999999861,0.0,1.6868020876186,1.5502782432829378,274.75,558.5833333333334
12,1.33125,0.0,0.0003608899999999908,127.09787469736844,24.173588900011964,0.0003608899999999908,0.0,1.70608794818335,1.5709962054631676,274.75,558.5833333333334
12,1.3875,0.0,0.00023851999999998375,127.3189089607376,23.428929384972434,0.00023851999999998375,0.0,1.6971973295448661,1.583759007809886,274.75,558.5833333333334
12,1.44375,0.0,0.0002480099999999871,126.9376851171778,23.680116854025982,0.0002480099999999871,0.0,1.7222295249433952,1.556984540469422,274.75,558.5833333333334
12,1.5,0.0,0.00029379999999998703,127.08253893724093,23.658730852999724,0.00029379999999998703,0.0,1.7061755834271224,1.5703709950722582,274.75,558.5833333333334
13,1.05,0.0,0.0002229699999999903,124.12349685766334,26.05358661600621,0.0002229699999999903,0.0,1.644989644272565,1.4895601940664773,253.6153846153846,515.6153846153846
13,1.10625,0.0,0.00021687999999999642,124.73809249265982,32.60516697500134,0.00021687999999999642,0.0,1.6714897083713771,1.4993454540097169,253.6153846153846,515.6153846153846
13,1.1625,0.0,0.00031299999999998956,125.24654096047624,30.760995463002477,0.00031299999999998956,0.0,1.6694483447378392,1.5193158167070784,253.6153846153846,515.6153846153846
